sorter_name,thread_count,average_time,standard_deviation
Sequential,1,1242089882.000000,4331212.834336
JavaSort,1,1000517433.000000,7915594.330667
ExecutorService,2,1306335488.000000,64988660.281635
ExecutorService,4,1105296090.000000,53286402.401061
ExecutorService,8,959398625.000000,35157459.997999
ExecutorService,16,995735816.000000,23881585.702486
ExecutorService,32,996583567.000000,30574799.086628
ExecutorService,48,1018490207.000000,28712089.542735
ExecutorService,64,1089577753.000000,113883124.002823
ExecutorService,96,1115181872.000000,28418678.396986
ForkJoinPool,2,626796656.000000,596813.140487
ForkJoinPool,4,394965490.000000,27129429.327198
ForkJoinPool,8,274836055.000000,39861521.805769
ForkJoinPool,16,185180205.000000,8230885.284241
ForkJoinPool,32,152905318.000000,5776576.088490
ForkJoinPool,48,142140777.000000,4005556.848372
ForkJoinPool,64,140831250.000000,5400873.405581
ForkJoinPool,96,140760380.000000,6091914.397035
ParallelStream,2,245165461.000000,4102312.794615
ParallelStream,4,218628394.000000,1724286.105292
ParallelStream,8,204101757.000000,1234703.756279
ParallelStream,16,197407022.000000,1364844.359681
ParallelStream,32,193585093.000000,2152710.935939
ParallelStream,48,193776106.000000,4365018.816892
ParallelStream,64,196564338.000000,5388613.302982
ParallelStream,96,200170673.000000,4379763.668402
