threads,distribution,mix,average_time,standard_deviation,discrepancies
1,Normal,1:1:8,89588102.900000,27048232.413724,9920
2,Normal,1:1:8,108500099.000000,26729656.487071,32801
4,Normal,1:1:8,147700226.300000,45880636.226585,95090
8,Normal,1:1:8,169244651.800000,25936539.136437,242363
1,Normal,1:1:0,197938438.200000,15963090.208113,0
2,Normal,1:1:0,262099491.500000,14559706.101449,0
4,Normal,1:1:0,357308070.900000,60950489.660065,0
8,Normal,1:1:0,470213560.900000,47548737.691637,4
1,Uniform,1:1:8,64266897.900000,10446707.967140,3766
2,Uniform,1:1:8,81216427.200000,23323562.693771,14007
4,Uniform,1:1:8,111389998.100000,32574226.939915,49820
8,Uniform,1:1:8,206037968.300000,36638324.051575,160328
1,Uniform,1:1:0,207276677.700000,17946136.482147,0
2,Uniform,1:1:0,288672526.300000,27534885.426916,0
4,Uniform,1:1:0,393497009.500000,29443334.402975,0
8,Uniform,1:1:0,753718533.000000,54569068.232880,1
