threads,distribution,mix,average_time,standard_deviation
1,Normal,1:1:8,0.648624,0.007385
2,Normal,1:1:8,0.895501,0.055908
4,Normal,1:1:8,0.996645,0.030083
8,Normal,1:1:8,1.119594,0.053455
16,Normal,1:1:8,1.320381,0.046338
32,Normal,1:1:8,1.356198,0.047500
48,Normal,1:1:8,1.736315,0.098847
1,Normal,1:1:0,0.955478,0.009514
2,Normal,1:1:0,1.253425,0.072637
4,Normal,1:1:0,1.463009,0.087111
8,Normal,1:1:0,1.643035,0.050748
16,Normal,1:1:0,1.935907,0.042208
32,Normal,1:1:0,2.363090,0.024896
48,Normal,1:1:0,3.240061,NaN
1,Uniform,1:1:8,1.171113,0.010844
2,Uniform,1:1:8,1.253416,0.077951
4,Uniform,1:1:8,1.343088,0.029616
8,Uniform,1:1:8,1.381370,0.027037
16,Uniform,1:1:8,1.648014,0.021438
32,Uniform,1:1:8,1.717527,0.046646
48,Uniform,1:1:8,2.235279,0.118641
1,Uniform,1:1:0,1.411893,0.052983
2,Uniform,1:1:0,1.562150,0.035492
4,Uniform,1:1:0,1.722890,0.047270
8,Uniform,1:1:0,1.890804,0.020408
16,Uniform,1:1:0,2.235851,0.038641
32,Uniform,1:1:0,2.527097,0.041150
48,Uniform,1:1:0,3.271265,NaN
